Column1;Column2
ayamnya berkotek-kotek, biasanya sudah bertelur.;aja?mma atak-kotak, biyasana ella atellor
perempuan berduaan duduk-duduk sambil menyelisik kutu dirambutnya.;re?ng bine?' wa?'-?uwa?'a?nju'-toju' sambi le?'-selle?' koto e? obu'na
hendak pergi ke kota;e?ntarra ka ko??a
ekor cicak itu sudah putus.;bunto'na cekcek rowa ella ko??ong
bagaimana yang dikatakan?;e?kowa se? e?koca'aghi?
beginilah yang menggoda anak yang tidak mau hidup sehat, sebagai pedoman untuk segera berhati-hati.;e?kowa se? ngu?ha?, kana' ta' ghellem se?-bherse?, me?nangka pandhuman ma' ghellis ngaste?te?
daging soto yang berapunga;dha?ghingnga soto akramba?ngan
orang yang marah itu mengomel-ngomel tidak karua;ore?ng se? pegghel rowa nyam-ngranyam ta' karoan
mulutnya berbunyi kecap-kecapa;colo'na amonye? cak-kreccagha?n
langit cerah bintang putih berkilau-kilauan sangat indahnya.;langge?' bherse? bintang pote? ?ha?p-ngre??ha?p ce?' pemana
bukunya rusak digigit tikus.;bukuna rosak e?kre?ke?dhi te?kos
kamarnya dicat warna krem.;kamarra e?ecce?t ba?ma kre?m
cincin dijarinya berkilauan;sello' e?ghrighi'na anap-krennap
urat-urat menjadi tegang semuanya.;ra'-ora' tengngrenteng kabbhi
uratku sepertinya bergerenyut-gerenyut.;tang ora' ka?i'na apengkre?peng
cahaya bintang yang berkedip-kedip.;cajana bintang te?p-ngrette?p
bangkai tikus dipinggir jalan itu dikerubuti lalat.;bha??angnga te?kos e? pe?ngghir jha?la?n e?krobghudhi lala'
perut berbunyi keroncongan karena belum maka;tabu' amonye? kroncongan amargha? ghi' ta' ngakan
di waktu pagi ayam jantan sama-sama berkokok saling bersahuta;e? ba?ja? lagghu aja?m lake?' pa?a? akronno' ot-saodha?n
setelah berlari-lari tubuhku terasa linu-linu semua.;mare? ka'berka'an tang bha?dha?n arassa nyo-ngronyo kabbhi
kalau memang berani jangan keroyoka;mon lakar ba?ngal jha?' ngroyo'an
burung gagak berkuar-kuar.;mana' ?a?ng?a?ng wak-kuwagha?n
nah! kalau begini siapa yang salah;lai mon ?a?' iya? sapa se? sala
nah! karena itulah saya tidak mau.;la! mangkana, se?ngko' la' en?a?'
jika sudah selesai segera dikumpulkan;san la mare? dhuli kompolaghi
kalau sudah usai cepat pulang.;san la loba?r dhuli mole?
lho! saya kan sudah bilang;la? se?ngko' kan la mare? ngoca'
lho! kok bisa ya?;la? me?' bisa ya??
panas-panas begini jika minum legen sangat segar.;nas-panas da?' iya? mon nge?nom la'ang ce?' seggherra?
kalau kamu memang mengerti, jangan diladeni agar tidak menjadi pertengkaran;mon ba?'na lakar ngarte? jha?' la'ja?ne? ma'le? ta' dha?ddhi tokar
sudah suka marah malah semakin diladeni.;sala pegghella?n mala saja?n e?la'ja?ne?
pintu dorong ke samping yang terbuat dari gedek.;laba?ng sorogha?n bi?hik
lain dari pada yang lain;lae?n ?a?ri se? lae?n
tidak ada yang lain hanya dirimu yang mempesona;ta?a? se? lae?n, coma dhika se? ngape?ncote?
lain hari sa?ja;lae?n are? bha?i
bayinya telah lahir dengan selamat;bha?ji'na ella lae?r kalaba?n salamet
berlagak atau berperilaku seperti orang barat.;alaga?' mara re?ng ba?ra?'
tiap pagi-pagi sekali saya sudah bangun tidur lalu shalat subuh;sabbha?n ghu-lagghu se?ngko' ella jha?gha? pas asobbhu
tadi saat masih pagi saya sudah didatangi tamu;ghella?' ghi' lagghu se?ngko' ella e??a?tengnge? tamoy
esok hari saya akan berangkat ke Bangkalan;lagghuna se?ngko' e?ntarra ka Bha?ngkalan
esok hari lebih pagi yang mau ke pasar.;lagghunna palagghui se? tja?' pasarra
sekarang hari Rabu besok hari Kamis;sate?ya are? rebbhu lagghu' are? kemme?s
besok pagi-pagi sekali saya akan membeli ikan di pasar lama;lagghu' ghi' lagghu se?ngko' melle?a jhuko'e? pasar laju
kelak jika sudah besar saya ingin bersekolah di Amerika.;ghu'-lagghu' mon la raja? terro asakolaa ka Amerika
tangannya buntung sebelah;tanangnga ka??ong salaja?
kakinya kurus sebelah;sokona kiris salaja?
ayo terbangkan layangannya disebelah sana, saya yang akan menariknya lalu panggil anginnya;mara ocol laja?nganna ghun e? ?issa, se?ngko' se? ngambha?dha? pas olok ange?nna
setelah dipukul lantas dibagaimanakan;mare? e?pokol lajhu e?pa?a?'ra?mma?
pakaian saya yang sudah usang oleh ibu diberikan kepada orang miski;tang ga?n?eng, ore?ng ga?n?eng ba?nnya' otangnga kalambhi se? ju-laju bi' e?bu' e?ba?ghi ka ore?ng me?ske?n
memang begitu kalau sudah selesai, lalu pura-pura lupa untuk membayar;lakar ?a?' iya? mon ella mare?, pas pamaloppa se? maja?rra?
memang begitu yang dimaksud;jha?' lakar ?a? iya? se? e?kamaksod
memang betul sudah pulang;lakaran ella mole?
benar-benar nakal anak itu.;lakar la melle?ng kana' rowa
jangan suka membeli ikan bandeng, ikan bandeng banyak tulangnya, jangan bersuamikan orang tampan, orang tampan banyak hutangnya;jha?' melle?an jhuko' bha?ndheng, jhuko' bha?ndheng ba?nnya' tolangnga, jha?' alake?an ore?ng 
dari dulu saya sudah mengatakan;?a?ri lamba?' se?ngko' ella ngoca'
karena sering tolah-toleh, rumah kamu sampai terlewati.;amargha? segghut le?-tole?an, dha?gha? telambha?s ?a?ri romana ba?'na
bajunya tidak berfuring.;kalambhina ta' alame?n
gagang keris bergambar orang;lan?hia?n pottra sadha?
gagang keris yang bentuknya seperti seulas buah nangka.;lan?hia?n nangka saoler
saya dan kakak setiap hari setelah shalat maghrib mesti mengaji di surau Pak Mat;se?ngko' hi' kaka' sabbha?n are? mare?na abha?ja?ng maghrib moste? ngajhi e? langgha?rra? Pa' Mat
sayur bayam ikannya tenggiri, jika berani kesini, jika takut pergi saja.;gha?ngan tarna' ajhuko' langghung, mon ba?ngal kanna' mon tako' ondhur 
anak itu sangat tidak sopan terhadap orang yang lebih tua.;kana' rowa ce?' langkana ?a?' se? towaan
jauh lebih baik bila tidak diambil;langkong sae? ta' e?pon?hut
anak-anak sekolahan yang bertengkar itu oleh orang-orang dilerai.;na'-kana' sakolaan se? atokar rowa bi' re?ng-ore?ng e?langlang
berenang di sungai;alangngoy e? songay
tidak tahu berenang.;ta' tao alangngoy
mudah-mudahan panjang umur;gha?-mogha? lanjha?ng omor
bila mernetik kacang panjang pilih yang panjang-panjang;mon me??e?k oto' pe?le? se? jha?ng-lanjha?ng
panjangnya jangan dikurangi, benangnya jangan sampai kusut, sembahyangnya jangan jarang-jarang, mengajinya sesering mungki;lanjha?ngnga jha?' pakorang. bennangngajha?' pasalbut, bha?ja?ngnga jha?' rang-rangrang, ngajhina pasegghut 
talinya direntangkan di tengah jala;tale?na e?lanlan e? tengnga jha?la?n
kamu kok sangat lancang.;ba?'na ma' ce?' lanta'na
kukunya sangat panjang;kokona ce?' lan?e?ggha?
kukunya dipelihara sampai memanjang;kokona e?obu dha?gha? lan?e?k
kukunya yang panjang diberi cat pewarna.;kokona se? lan?e?k e?berri' ghi?e?k
orang kalau sudah tua, kata-katanya melantur tidak karua;ore?ng mon ella towa, cacana tor-ngalantor ta' karoan
meski kecil tapi berani.;lapa' ke?ne?' tape? ba?ngal
andaikan belum pulang pasti kebagian kue.;lapa'a ghi' ta' mole? moste? me?lo jha?jha?n
pencuri yang tertangkap itu dilaporkan ke polisi.;male?ng se? e?pe?gha?' rowa e?laporaghi ?a?' polisi
kalau selesai kencing cepat disiram agar kamar mandinya tidak berbau pesing;mon mare? akemme? dhuli se?ram ma'le? je??ingnga ta' aba?u lase?ng
orang yang berasal dari desa itu saat berbicara sangat jelas dan terang.;ore?ng ?a?ri dhisa rowa bila? ca'-ngoca' ce?' laspadhina
sudah bertandang ke rumah anda.;lastare? me?os ka dha?lem e?pon panjhennengngan
bunga melati, kenanga dan cempaka memenuhi halaman muka rumah.;kembha?ng malate?, kananga ba?n campaka mossa'e? palataran
rumah yang terbakar itu apinya semakin meluas ke rumah yang ada di kanan kirinya;roma se? kobong rowa apoyya alatlat ka roma se? ba??a? e? kangan kace?rra
hendak pergi kemana kamu dik?;e?ntarra ka kamma ba?'na le?'?
dik! kamu kok tidak berhenti-henti menangis, nanti akan saya pilin kupingmu.;le?'! ba?'na ma' ta' ?hik bu-ambu se? nange?s, ?a?gghi bi' se?ngko' e?kopessa kope?ngnga
sebelum digembala, kambingnya diikat dengan tali dilehernya.;sabellun e?owan, embi'na e?tale?e? le?' e?rra
kopinya terlalu manis, gulanya terlalu banyak;ghubhina tale?ba?t mane?s, ghula?na ba?nnya' gha?llu
melewati jalan besar;ngale?ba?dhi jha?la?n raja?
awas jatuh dik lewat di tegalan, karena becek semuanya;se?nga' labu le?' le?ba?t e? tabwi, polana led?uk kakabbhi
jauhnya hanya sampai ke Pamekasan, melewati desa Camplong, sangat disayangkan bila bermusuhan karena sudah terlanjur lama berkumpul bersama.;jha?una gha?n Pamekkasa?n, ngale?ba?dhi dhisa campiong, e?manna se? pas arosagha?n kare? abit se? along-polong 
mangga yang dipetik kemarin itu sekarang menjadi terlalu masak.;pao se? e?polong ba?ri' rowa, sate?ya dha?ddhi lebba?s
sungguh lebat buahnya juwet, membiru warnanya, ngiler ingin mencicipinya.;lebbha?' ongghu buwa?na dhuwa?', ngobungo ba?mana ngale?ce?r terro ngrassana
kalau mau mencari ikan pindang datang saja ke kampung lebak, disana jika pagi hari banyak orang menunggu para nelayan yang baru datang menangkap ikan dari laut.;mon nyare?a jhuko' pe?n?a?ng, e?ntar bha?i ka kampong lebbha?k, e??issa mon ghu-lagghu ba?nnya' ore?ng a?a?nte?' re?ng maja?ng se? bhuru ?a?teng amaja?ng
kucingnya masuk lewat pintu belakang;koce?ngnga lebbhu le?ba?t laba?ng bu?i
sapinya dimasukkan ke dalam kandangnya;sape?na epalebbhu ?a?' kan?a?ngnga
tercebur ke dalam sumur;talebbhu ka ?a?lem somor
sebelum hujan, anginnya bertiup kencang tidak tentu arahnya.;sabellunna ojha?n, ange?nna abung-lebbung
taru kucing banyak mengotori sarungnya.;tae?na koce?ng abhitle?bhit ka sarongnga
burung manyar kalau membuat sarang sangat bagusnya;mano' be?tak mon agha?ba?y le?bun ce?' ga?ntengnga
burung emprit bersarang di atas pohon api-api;mano' keddhi' ale?bun e? attas bhungkana pe?-ape?
sangat menyenangkan tingkah lakunya, manis senyumannya;le?bur ongghu te?ngka ghulina, mane?s pame?semma
cincinku yang bermatakan kecubung disenangi oleh tamunya ayah;tang sello' se? amata kecobhung e?kale?buri tamoyya rama
orang-orang yang datang dari manca negara sangat tertarik menonton kerapan sapi Madura;re?ng-ore?ng se? ?a?teng ?a?ri manca nagha?ra? le?bur ongghu ne?ngghu kerrabha?n sape? Madhura?
film di TV tadi malam tidak menarik sama sekali;filem malemma e? TV ta' le?bur sama sakale?
orkes dangdut di alun-alun banyak disenangi oleh orang-orang dari desa;orke?s ?ang?ut e? lon-al on ba?nnya' e?kale?buri re?ngore?ng ?a?ri dhisa
bila mendengarkan lagu Madura, saya sangat menyenanginya;bila? nge??ingaghi laghu Madhura? se?ngko' ce?' le?burra?
anak-anak laki dan perempuan bersenang-senang di tengah halaman, saat malam dibawah sinar rembulan, bertepuk tangan berteriak-teriak kegirangan, Hore!! inilah lagu kidungannya, lagu kuna tapi sangat menarik!!.;lance?ng kana' ba?n manjha? pottre?, e?n-mae?nan ghun, e? tane?yan, ba?ja? malem e?te?ra'na bula?n, pa'-kopa'an aorak kape?ragha?n, Ore?!! re?ya' ke?jhunganna laghu kona ce?' le?burra?!!
dikatakan kepada seseorang yang suka membuka aib keluarganya sendiri.;nglecca' tae? e? ?a?lem bha?tok 
jangan lewat disini, karena masih licin;jha?' le?ba?t e? kanna', polana ghi' le?ce?n
berliur ingin merasai.;ngale?ce?r terro ngrassana
ban sepedanya meletus di tengah jalan;ban sape??ana aleddhu'e? tengnga jha?la?n
kamar adikku sangat luas dibandingkan kamarku sendiri.;kamarra tang ale?' ce?' leggha?na e?te?mbha?ng tang kamar dhibi'
sekarang saya merasa lega mendengar kamu selamat dari tabraka;sate?ya se?ngko' arassa leggha?, nge?? ing ba?'na slamet ?a?ri tubru'a?n
legi, pahing, pon, wage, kliwo;legghi, pae?ng, pan, ba?ghi, kle?bun
anak itu kalau tidur melingkar seperti ular.;kana' rowa mon te?gung malekker aka?eng olar
air matanya meleleh banyak di pipinya;ae?ng matana ale?lle?an e?pe?pe?na
bayinya terlelap dalam gendongan ibunya.;bha?ji'na talellep e?embha?nan embu'na
perahunya tenggelam di tengah lauta;paraona talellep e? tengnga sagha?ra?
kalau tidak tahu berenang jangan dekat-dekat di sungai nanti bisa tenggelam;mon ta' tao alanggoy jha?' ma'-semma' ?a?' songay, ?a?gghi' bisa tale?llep
kemarin ada orang mati tenggelam di dam.;ba?ri' ba??a? ore?ng mate? tale?llep e? e??am
saya berada di dalam rumah;se?ngko' ba?rja? e? lem rorna
di dalam kamar mandi;e? lem je??ing
uangnya ditaruh di dalam kantongnya agar tidah jatuh.;pe?sse?na e?saba?'e? lem kantongnga ma' le? ta' gha?ggha?r
anaknya tidak mau pulang karena tidak dibelikan mainan;ana'na ta' lem mole? polana ta' e?melle?aghi e?n-mae?nan
tidak mau berhenti menangis.;ta' lem ambu se? nange?s
bayi yang baru lahir biasanya kepala bagian atasnya masih lembut;bha?ji' se? ghi' bhuru lahe?r biyasana, bunembunna ghi' lembu'
orang tua yang terhanyut disungai itu mati lemas karena tenggelam.;ore?ng towa se? talanyo' e?songay rowa mate? lemmes amargha? tale?llep
sungguh lembut putri Madura, cara berjalannya bagaikan meniti kelening.;lemmes ongghu pottre? Madhura?, pajha?la?nna ne?te?r kale?nang
teman saya yang bertubuh kurus itu kalau mengerjakan sesuatu sangat lamban;tang kanca se? koros rowa, mon akon-lakon le?mme?t ongghu
bau ketiaknya sangat apek.;ba?u le?mongnga ce?' amengnga
jangan terlalu kurus dan jangan terlalu gemuk.;jha?' ros-koros gha?llu ba?n jha?' po-lempo gha?llu
dimana tempat tinggal anda?.;e? ka' ?imma pale?ngghina panjhennengngan?
gulungannya di pegang, benangnya jangan sampai kusut.;ghulunganna tegghu', bola'na jha?' pasale?ngka'
kepala serasa puyeng setelah berputar-putar;ce??ak arassa lengleng samare?na ater-poter
lengannya patah karena terjatuh pada saat bermain sepak bola di alun-alu;lengngenna potong polana labu amae?n tembhung e? lon-alon
kenapa kamu jika bertemu dengan aku melengos-lengos?.;arapa ba?'na mon tatemmo bi' se?ngko' ma' ngos-pale?ngosa?n?
saya muak melihat anak itu, karena sangat nakal.;se?ngko' nglennyer ngate?la' kana' rowa, amargha? ce?' bhlengngerra
kuahnya lupa tidak dipanaskan sampai mengental berlendir.;kowana loppa ta' e?andhel dha?gha? dha?ddhi le?ntat
telapak kaki melepuh setelah menginjak arang panas.;pa'-dha?pa'na soko malenie?ng saellana ne?ddha?' areng panas
kepalanya botak mengkilat dan lici;ce?' aggha? bhutak ngle?nye?
air dikamar mandi meluap, keran airnya lupa dimatika;ae?ng e? je?.?ing ngale?pe?r, eppe?ddha? loppa ta' e?pate?e?
bayinya terlelap dalam gendongan ibunya.;bha?ji'na taleplep e?embha?nan embu'na
pelipur hati yang sengsara.;pangle?por ate? sangsara
orang itu sangat pintar dalam mencari uang.;ore?ng rowa leppe?' ongghu mon nyare? pe?sse?
bila meminyaki rambut jangan dilumuri sampai seperti basah kuyup.;mon ame?nnya' obu' jha?' pos-leppos
dilirik istri orang;e?le?re?k bine?na ore?ng
jangan suka melirik istrinya orang, jika suaminya tahu bisa berbahaya;jha?' re?k-le?re?gha?n bine?na ore?ng, mon e?temmo lake?na bisa bha?bha?ja?
mendengar anaknya mati ditabrak mobil, ibunya lemas duduk di tanah karena tidak kuat menahan perasaannya.;nge??ing ana'na mate? e?tabra' mobil, e?bu'na ale?rpek e?tana amargha? ta' kowat nahan prasaanna
kalau berbicara jangan sambil membelalak-belalakkan mata.;mon acaca jha?' sambi rek-palerreggha?n
benar itu kepunyaan saya.;lerres pane?ka gha??hua?nna abdhina
cabai rawit meskipun kecil tapi sangat pedas.;cabbhi le?te?' makko ke?ne?' peddhis ongghu
ikannya meleting-leting masih hidup di dalam keranjang;jhuko'na ate?' lette?' ghi' o?i'e? ?a?lem kranjha?ng
udangnya meleting-leting di jaring;o?engnga te?'-lette?'an e? jha?ring
belalang di atas daun belimbing itu meloncat-loncat.;ba?la?ng e??a?unna bhlimbhing rowa te?' lette?'an
pada waktu menggoreng ikan di wajan, tanganku kena percikan minyak goreng yang panas.;prappa'na nguring jhuko'e? ba?jha?n, tang tanang e?lette?'e?n, e?nnya' ghuring se? panas
kaca tipis pasti retakjika terkena api;kaca mon te?pe?s paste? alette?' mon e?kenne?ng apoy
besar-besar irisan dagingnya.;?ok' maler??ok dha?ghingnga
saya tidak bisa mengunyah dagingnya karena liat, bisa-bisa gigi saya bisa copot;se?ngko' ta' bisa mappa' dha?ghingnga polana le?ya', la-sala tang ghighi bisa colpak
saya tidak bisa mengunyah dagingnya karena liat, bisa-bisa gigi saya bisa copot.;se?ngko' ta' bisa mappa' dha?ghingnga polana liya', la-sala tang ghighi bisa colpak
larinya tidak cepat;paberka'na lo' gha?ncang
orang Cina bila berbicara masih pelo.;ore?ng Ce?na mon ca'-ngoca' ghi' lo'la'
buah kelapa banyak berlubang digigit tupai;buwa?na nye?or aba?ng-loba?ng e?ke?kke?' ebbhu'
sesungguhnya rahasia ini jangan sampai orang lain mengetahui, tapi kamu sudah terlanjur mengatakannya.;saongghuna rose?ya re?ya jha?' sampe?' ore?ng lae?n tao, tape? ba?'na taloccor ngoca'
jangan bercanda, saya tidak suka;jha?' co-maloco, se?ngko' ta' le?bur
paling enak makan sale dengan kuah lodeh.;pale?ng nyaman ngakan sate? akowa lo?e?
kerisnya berluk lima.;kerre?ssa? aellok le?ma'
menghilangkan luka di hati;mase?ma loka e? ate?
bila berbicara berhati-hatilah, jangan sampai melukai perasaan orang lain;mon acaca bi' te?-ngate?, jha?' kangse? ngalokae? ate?na ore?ng lae?n
tangannya luka terkena pisau.;tanangnga loka e?kenne?ng togi'
anak ayamnya diberi makan melukut;pe?te?'na e?pakane? maloko'
burung didalam sangkar itu jangan dulu diumbar karena masih liar.;mano'e? ?a?lem korong rowajha?' en?i lombha?r polana ghi' ghesse?t
didatangi air banjir.;e?kalompae? ae?ng ba?'a?
hutangnya sudah dilunasi;otangnga ella mare? e?lonase?
jika mempunyai hutang harus dilunasi;mon an?i' otang kodhu lonase?
burung emprit berloncatan diranting sambil berkicau berderai-derai.;mano' keddhi' ca'-lonca'an e?attas ranca' sambi ngoce? ngace?cot
dikatakan kepada orang yang tidak mendapatkan jalan keluar atau tidak bisa menyelesaikan masalah yang dihadapi.;ta' nemmo longellongan 
dari lubuk hati yang paling dalam.;?a?ri longkang ate? se? pale?ng ?a?lem
kepalanya melongok-longok dari jendela.;ce?taggha? angolongo ga?ri jenge?la
kakek membeli bambu lima lonjor untuk membuat kandang kambing.;emba ngoba?nge? perre?ng le?ma lonjhur kaangghuy abha??hi kan?ha?ngnga embe?'
warnanya mulai meluntur;ba?rnana la molae? lontor
kepalanya botak mengkilat dan lici;ce?µggha? bhutak nglonyo
luput menembak tupai;lopot se? ne?mba' ebbhu'
terhindar dari kesusahan atau penyakit;lopot ba?ja?ng saba?n 
saya kelupaan mengembalikan buku.;se?ngko' kaloppaan se? maba?lia? buku
kalau memasak daging yang lama sampai empuk, supaya mudah dan enak memakannya.;mon amassa' dha?ghing palor?u, ma' le? gha?mpang ba?n nyaman mon e?kakan
tunjukkan saya jalan yang lurus;toddhuaghi kaula? jha?la?n se?loros
mencari batang pohon waru yang lurus untuk digunakan sebagai tongkat pramuka;nyare? bhungkana ba?ru se? loros kaangghuy tongkeddha? pramuka
celananya melorot ke bawah;calananya alorot ka ba?ba?
warna bajunya sudah mulai luntur;ba?rna klambhina la molae? loso
cincin yang disepuh emas cepat luntur.;sello' se? e?sempo emmas ceppet loso
tangannya mahir mengulek bumbu.;tanangnga ce?' lo?e?'na se? ngocek lappa
di luarnya rumah.;di lowarra rama
rumahnya besar dan luas.;romana raja? ba?n loas
dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang;bit asma e?pon Allah se? Maa Mora tor Ase?
Yang Maha Kuasa;Se? Maa Koba?sa
Yang Maha Suci;Se? Maa Socce?
kenapa tidak mau berbicara, mungkin saya punya kesalahan?;arapa ma' ta' ghellem acaca, la-pola se?ngko' an?i' sala?
kenapa luka? kena pisau ya?.;ma' loka? kenne?ng todi' ya??
kok begini kejadiannya?.;ma' ba?riya? kadha?ddhia?nna?
kalau bekerja di tambak jangan lupa memakai sepatu karet biar tidak luka tertusuk duri;mon alako e? tambha?' jha?' kangse?' loppa ngangghuy sepatu kare?t, ma' ta' loka tacoco' ?uri
bunuh ular itu agar tidak kena patuk.;pate?e? olar rowa ma' ta' kenne?ng tanca'
Pak! saya minta uangnya, mau beli maina;ma'! se?ngko' me?ntaa pe?sse? kaanghuy melle?a e?n-mae?nan
wajahnya memerah karena tubuhnya sangat panas;mowana ma'ar amargha? bha?dha?nna ce?' panassa?
wajahnya memerah karena sangat marah;mowana ma'ar amargha? ce?' pegghella?
pipinya merah merona karena sangat malu.;pe?pe?na ma'ar amargha? kato?usa?n
