Indonesia,Madura
laita meu kare akaturuhuja,laè' aree amarghâ para' ojhâa
"biasaa kalau malam telah tiba baak amuk meerubu, lebih-lebih jika selokaya tidak terawat deabaik","biyasa moella malem reè' arobu, bi-lebbhi molèkè ta' karabât"
"dikatakakepada ora ya tidak tahu diri, merasa mempuai kemampuaya besar serta saat diperlukaoleh baak ora.",reè' alè ajâgâ kaju 
diria dalam keadaatidak sejuk hati kare baru saja bautidur.,bâ' dhibi' ghi' ta' rea amarghâ ghi' bhuru jhâghâ tèḍu
makai saat reah.,kakarèya cè' reya
meup api di tuku,arèpo apoy è toma
meup api megukaseropo.,arèpo apoy aghuy sropo
mohomaaf bilama saya merepotkaaa,sapora mabi kaulâ ampoarèpodhi sampèyan
kalau i bukakepuaau,morèya bâè ta ai
saal i milik siapa?,saal rèya ai' sapa?
i saya berada disi.,"rèya, sèko' bâgâ è kaa'"
i dagi buat sate.,rèya dhâghi ghâbây saté
buamelati berbau harum,kembhâ malatè abâu ro'om
"setiap malam hati tidak meu, terbaya akawaj ahmu.","sabbhâmalem atè ta' o, èkabâjâ robâ dhika"
jika berjualajaasampai rugi,moajhuwâlâjhâ' sampè' rogi
"rugi sedikit tidak meapa, kare saya butuh ua","rogi ḍhiḍḍhi' ta' apa-rapa, amarghâ sèko' parlo pèssè"
ada ya uu ada ya rugi,bâḍâ sè oo bâḍâ sè rogi
sembahya maghrib tiga rakaat.,abhâjâ mahrib tello' rokaat
rokok ya dibukus deakulit jagu ya tipis,roko' kolè' jhâghu
"jika merokok teua kebul-kebula sudah lumrah kata ora di Madura, ikut saya teua jaaambek, terlaur cia akameadi seperti tikah buru merpati.","moaroko' tao bhul-kebbhulâ ca' orè kappra è Madhurâ, ro' sèko' tao jhâ' ambhulâ kaḍu tarès mara ma' dhârâ "
pamau tigal di desa ya jauh dari kota,ta ghuttè aroma è dhisa sè jhâu ḍâri roma
rasa hati ya kegiraa,romasa atè sè kapèraghân
merawat tamadi belaka rumah,eromat tameaè buḍi roma
membua kotorake empat pembuaasampah,mowa bu-rombu ḍâ' sarpaan
tempat disi saat kotor kare tidak perh disapu,keeaè ḍiyâ cè' rombu pola ta' tomaèsapoè
perihal ya sepele dibesar-besarkasehiga meadi keala besar dasulit.,tè'-lettè' èrèt rohâa
"ayam serempak berkokok, buia saat ari.","ajâm saroju' paḍâ akroo', moè saet laè"
rambuta sampai luruh kare sakit pas ya saat parah,obu' dhâghâ roo amarghâ sakè' pas cè' sara
buah kelampok baak berjatuhaterke hujaderas tadi malam.,buwâ klampok bâya' sè roo èkeè ojhâdherres malemma
tikus seri merusak tamapadi,tèkos segghut arosak tameapaḍi
baak rumah ya rusak akibat gempa,bâya' roma sè rosak èkeè lèhu
di desa baak jalaya rusak,è dhisa jhâlâa sak-rosak
bara ya sudah rusak dibua.,bhârâ sè ella rosak buwâ bhâi
surat i saat dirahasiaka,sorat rèya cè' rosèya
"perempuaitu get, jika berbicara tidak seh.","orè bì' rowa lètèr, moacaca r6s6"
tula rusuka patah akibat terjatuh bermaisepak bola.,tola roso' poto amarghâ labu amaètembhu
ora kaya itu saat royal,orè soghi rowa cè' royalla
dikatakakepada ora ya kaku dalam bergaul kare tidak tahu sopasau,akaa sa' ar gherrâ 
harta ya meadi rebutaaara ahli warisa.,sabâ dhâddhi gheḍhâ 
membuat seuatu kejahata bisa-bisa diria terke akibata.,abâ' soghâ terjhâk dhibi' 
belum selesai sebab oraa masih baak pekerjaa,"ghi' ta' marè èlakò, sabâk orèa ghi' bâya' lako"
rumah ya tidak ditempati itu baak sawa-sawaa.,roma sè ta' èkeeè rowa bâya' bâsabâa
"setiap memaamu, aku tidak akalupa lesu pipitmu.","sabbhâmahe dhika, bulâ ta' kèra loppa amarghâ pacek è pèpè"
"dulu ketika saya masih kecil seri bermaimaidi tepi suai, suatu ketika perahu terhaut","sabbhâa bâkto sèko' ghi' kè̀' dhujâèmaèè pèghir soay, sètto bâkto tomatalao'"
saat peabar,cè' sabbhârrâ a.
bersabarlah! semoga Ya Maha Kuasa memberikakelapaadada.,bi' sabbhâr! malar moghâ Sè Kobâsa aparè kajhembhârâatè
hati-hatilah kalau meeberai jalan,bi' astètè mabi abbhrâ jhâlân
rumahku disebera jala,ta roma èsabbhrâ jhâlân
jam sebelas malam,pokol sabellâs malem
membaca Al-Fatiha sebelas kali,mâca fatèba sabellâs kalè
membeli duriasebelas buah.,mellè dhurisabellâs mègghi'
sebelum dimia segera kembalika,sabelluèpèa. dhuli pabâli
dulu pada jamapeajaha murid-murid sekolah jika melis tidak megukabuku tapi megukasabak.,"sabbhâghi' jhâmapahâjbââ rèdmorèd sakolaamolès paajhârâta' aghuy buku, tapè aghuy sabhâk"
tali ya putus sudah disambu lagi.,talè sè pegghâ' marè ètabhu polè
ayah saya megal dua pada umur em puluh tahu,rama kaulâ sèdhâ omor sabidhâk taon
mema sudah meediaka,lakar la asaḍiyâ
aa saat patut jika meekapakaiaya berwar hitam.,cè' saè mabi paheeaaghem rasoghàsè abâma celle
perahua meitari lautan,parao alajâr èdher saghârâ
tidak ada ya tahu isi hati seseora.,"saghârâ keè jhâjhâghi, eaea orè ta' keè terghâ "
ak-ak kecil itu saat doyamakasago,' ka' kè̀' rowa cè' dhujâa akasagon
"mulaa meis biasa, tapi semakilama semakimeadi taisaya","mola ès biyasa, tapè sajâabit sajâdhâddhi taèssa"
aka semakibesar semakikal.,a' sajârajâ sajâtambe
sejak kecil sudah terlihat bakal meadi ora ya paai,sajjhegghâ kè̀' la èkatèla' bhâkal dhâddhiâ orè pèer
sejak hidup tidak perh meusahkaora lai,sajj he gghâ ogi' ta' tomaossaè orè laèn
membeli semelima belas sak.,mellè semmèlèma bellâs sak
terima kasih ya sebesar-besara atas kehadiraaa sekalia,mator sakalako sè cè' rajâ atas rabu èpopaheeasadhâjâ
sakit gigi geraham,sakè' ghighi gherrem
sakit lepra,sakè' màs dhâghi
sakit pas diin,sakè' pas cellep
sakit sesak fas,sakè' seksek abâ
sakit bekak gusi,sakè' bârâ ghusè
sakit jerawat batu,sakè' jheâbâ' bâto
sakit perut ya kembu dameeras,sakè' bâet tabu'
sakit pada bawah perut ya meeras,sakè' bâet bu-rabuân
saki kare saat sakit sampai berteriak-teriak,sakè ḍâri sakè' dhâghâ arat-iarat
saki biua sampai tidak meapa kepada temaya ya lewat,sakè bhioa dhâghâ ta' apa ḍâ' kaa sè lèbât
aka ya berumur em tahudisekolahkadi sekolah ya dekat dearumaha.,a' sè aomor meem tao èpasakola è sakolaasè semma' bi' roma
lombok i meski kecil tapi saat pedas.,cabbhi rèya sala kè̀' tapè cè' peḍḍhissâ
jaajaameadi aaaapikiran,la-sala dhâddhi bâea pèkkèran
bau wai bersebar kema-ma.,bâu ro'om asalambherrân
data dari jauh deakeadaaselamat,ḍâte ḍâri j hâu ka labâsalamet
shalat lima waktu,salat lèma bâkto
bersembahya,"asalat , abhâjâ "
ai ya galak itu merkam betis ora ya lewat.,bhurus sè ghirâs rowa albhâk bettèssâ orè sè lèbât
peemis itu berpakaiasobek-sobek.,orè emmès rowa akalambhiâbi-salbi
apa ya dikerjakatidak beres,sè èlakò asalabudhân
ora ya meokamal kocar-kacir kare kuda ya merik dokar terlepas dari talia.,orè sè ̀ghu kamafal asalabudhâamarghâ jhârâsè rèk ḍokar taocol ḍâri talè
tidak piar mucerdik.,bâè pèer salèer 
be layaai jaasampai dikusutka,bola' lajâarèya jhâ' sampè' pasalèka'
borok ya tidak kuu sembuh-sembuh cepat di olesi salep.,poro sè ta' râs-bârâs dhuli salebbhi
aisepoi-sepoi terasa masuk perlahalahake tubuh.,aèalesser alepsep ka bhâdhân
aisepoi-sepoi terasa masuk perlahalahake tubuh.,aèalesser alessep ka bhâdhân
perempuaitu seri meela pembicaraaora.,orè bì' rowa dhujâyalko'acaca  orè
dari dulu dirimu meembuikakata hatimu,kabit lambâ' dhika amaraghi caca atè
memakai saru terseret-seret.,aghuy saro abâr-sambâr
pamadabibi meeuk kemekaya ya dirawat di rumah sakit.,ghuttè so bhibbhi' ambhâè pekaa sè èrabât è roma sakè'
jika dipagil ibua cepat meahut supaya tidak dimarahi.,moèolok èbhu dhuli ambhit ma' lè ta' èghighiri
tali ya putus itu selesai disambu.,talè sè pegghâ' rowa marè èsambhu
memaa diberikapada siapa?.,sambia èbâghi ḍâ' sapa?
sama saja.,samè bisaos . paḍâ bhâi 
ayam ya makapadi di halamadilempar deasapu.,ajâm sè occo' paḍi è tàyaèsampat bi' posapo
meukupi.,"ampè̀ , okobhi "
membaca kitab higa selesai,mâca kètab sampè' marè
meewa tah higa tahudepan,èwa ta sampè' taoḍate
makaurap sampai kekeaa,akaraporap sampè' kakeyaan
terlalu lama meadi calopegawai,sampèr fajhu èsampaya
mai berkeramas megukasampo.,mai atolo aghuy sampo
jika ada perlu baru memiam,sabâḍâ parlo bhuru pas èhâm
jika sudah pula baru diperbiakan,sala molè bhuru èrasà
jika sudah selesai bekerja cepat berikaupaha.,sala marè alako dhuli bâghi opa
walaupusegala peharapamudirimu tetap ada di hatiku.,"sajjhâsakabbhi paarebbhâtor jhâhi pola sèr salahâa, lamodhika pagghubâḍâ è atè bulâ"
bersaar ke tembok,asaâr ka tèmbo'
jika dipail ibua cepat data,moèolok èbu' dhuli aher
meerjakasesuatu ya berbahaya dameapati kecelakaadakesulita,aher ka apoy 
meampii ora ya hampir mati,ahiè orè sè para' matèa
rambut ya terbakar haus berbau sait,obu' sè taobbhâr sampè' aos abâu saèt
sia berbau sait kare haus.,sè' abâu saèt pola aos
kamu dikira pula hari kemari,bâ' èsaghu molè bâri'
mearai kopi kemudiaditumbuk sampai halus,aar ghubhi lajhu ètoto sampè' alos
"tidak disaka akabertemu deamu, terce lalu sali terseum.","ta' èsaka sè tatemmoa so dhika, begeggealajhu pas paḍâ mèsem"
ak ya kal itu seri merampas kepuaatemaya.,ka' sè tambe rowa dhujâakraaai' ka
be laya-laya meelau ke pohoasam,bola' lajâaalar ḍâ' ka'-bhukaaaccem
jaria terkait ke batu kara,jhâria tasalat ḍâ' bâta kara
duduk bersila kaki.,toju' asalè' soko
aka ya pali kecil mereek-reek mia sau ya lebih baak.,a' sè palè kè̀' è'-arèè' mèa sao sèjhu bâya'an
ek damerik bui ak ya mebuh kea.,sayak moè ka' sè bbhu ghehâ
saya memukakulit ular ya sudah bergai kulit di luba ya ada dibawah pepoho,sèko' mmo kolè' olar sè asalodhâè lobâ sè bâgâ è bâbâ ka' bhukaan
sapi karapakea berlaria.,sapè kerrabhâsaa' pabua
aliraair terjusaat deras.,ghili aè taa' cè' saerra
buru ela itu meambar ak ayam ya berkumpul deaiuka,ma' sèka' rowa aop pètè' sè apolo hi' korbhi
biasaa saya makasahur jam tiga lebih sepermpat.,biyasa sèko' asaor pokol tello' lèbât saparapat
siapapuboleh saja data ke rumahku.,pasèraa bisaos ta' apopa kèè rabu ka compo' kaulâ
ora ya bersembahya di masjid bersaf-saf baak.,orè sè abhâjâ è sèghit rowa asa-sap bâya'
siapa ya data lebih awal?,sapa sè ḍâte ghâlluâ
kamu aka siapa?,bâ' a' sapa?
siapa ya meapat uu?,sapa sè ollè oo?
siapa saja harus hormat kepada ora tuaa,sapaa bhâi kodhu hormat ḍâ' orè seppo
bila disapa temaya cepat meahut agar tidak dikira sombo.,"moèsapa kaa dhuli ambhit, ma'lè ta' èsaghu agâ'"
jam berapa aa data?,pokol sapapa sampèyarabu?
berapa kilometer jauha?.,sapapa kilomèter jhâu?
selesai digembalakasapia cepat dimasukkake kaa,marè èowasapè dhuli èpamaso' ka kahâ
"dilukiskakepada suatu perceraiasuami istri, sedakaaka baak.",akaa po-sapo pegghâ' sèmpayya 
mohomaaf ya sebesar-besara jika saya mempuai salah petura,a'osapora sè rajâ-rajâ èpomabi kaulâ aghâḍhuâsala pètotoran
berterbaaterbawa kema-ma.,apsap ḍâ' maimman
ayam ya meucuk padi dilempar deasapu lalu terba melesat ketakuta,ajâm sè occo' paḍi èsampat bi' po-sapo lajhu buru sap-apsap
"lukaa parah, cepat bawa ke rumah sakit.","loka cè' sara, dhuli kèbâ ḍâ' roma sakè'"
memperbaiki mesii saat sulit.,mabeccè' messirèya cè' sara
permisi saya heak pularig.,ara kaulâ palèmaa
bila musim kemarau baak tah ya bedebu-debu.,momosèm ̀mor bâya' ta sè bu-arbu
bara ya seperti i sulit uuk mearia,bhârâ toghellâ rèya malarat rè-sarè
mecari-cari kesalahaora lain,rèyarè ala orè laèn
"bila dicari tidak ketemu, bila tidak dicari diketemukan","moèsarè ta' ètemmo, mota' èsarè ètemmo"
ayah membaca korasambil tidur-tiduran,rama maos korasambi rèsarèn
meup api di tuku,arèpo apoy è toma
si ya masih pas cepat ditiup agar ditigidabisa cepat dimaka,sè' sè ghi' pas dhuli sarèpo ma'lè cellep pas bisa ceppet èkakan
mekap buru pipit,arghep ma' keddhi'
jawabaya serupa deajawabaayah.,jâwâbhâa sarobâ hi' jâwâbhâa rama
meerobo api tuku agar tidak cepat mati.,aropo apoy toma ma'lè ta' cep pet matè
meeruput kopi ya pas.,aropot ghubhi sè pas
itu ombak bagaikagerakaak sapi.,rowa' ombâ' sasat ghuli jâgir
pakaiakotor ya mempuk itu belum dicuci semua.,kalambhi kotor sè mbhuk rowa ghi' ta' èsassa kabbhi
"sate ayam saat ck, bumbua kecijp dicampur kaca",satè ajâm cè' amaa lappa kècap ècampor kaca
"sate berurat-urat, loo sisa hari kemari jika tidak pua ua jaameekat, terlaur duduk tidak akadiberi.","satè ra' -ora' , loo karè bâri' , mota' ai' pèssè jhâ' ara' -para', karè ̀ko ta'  èberri' "
saat lama ya megu,cè' abiddhâ sè aḍâè'
"ya megu percuma, terlaur lama ya meharapka",sè aḍâè' parcoma karè abit sè arepaghi
"ya kaya bertambah kaya, ya miskibertambah miski","sè soghi tambâ soghi, sè mèskèatambâ mèskèn"
murid-murid ya selesai berupacara lalu berlariaduduk dibakua masi-masi.,rèdmorèd sè marè upacara aberka' lajhu tojhu' èbaku bâ-sèbâ
dari sebab apa.,gâri sebbâb apa
kakia luka meaa lebar kare tertusuk pecahakaca.,soko sebbâk pola tacoco' bhelli
ya telah tersebut diatas,sè ella èsebbhut èattas
mcebut deama Allah,ebbhut kalabâasma èpoAlla
ora ya sudah hampir mati diajari meebut ma Allah,orè sè saet èajhâri ebbhut asma Alla
leaya merah membekak terke kibasarotan,leea malèâ èkeè sèbheddhâpahâlin
bahua luka meaa lebar terke kibasacelurit waktu bercarok.,bhâu sebbâk keè sèbhet arè' bâkto acarok
"olahamakaya saat ek, rasa masa pas ber.","la-ola cè' amaa, rassa màssâ seḍḍhean"
"awala tidak mau, ketika sudah selesai, akhira mau juga.","â'-ḍâ' ta' eâ', seḍḍhe ella marè, totogghâ eâ' kèya"
"pacara tidak caik, wajaha seda-seda.",bhâkalla ta' raddhi robâ ḍhe-seḍḍhe
saya sedih memikirkau.,bulâ seḍḍhi mèkkèr dhika
rumahku didekat kaor kecamatan,ta roma èseddhi' kaor kacamadhân
meeuh pada kulita ya putih,eddhi ka kolè' sè potè
ora tuaa megal dua tiga tahuya lalu.,orè seppo amposèdhâ tello taosè tapokor
jika pas-pas seperti i pali ek mim es kelapa muda agar mulut berasa segar,mos-pas mara rèya palè amaèm ès begghâma'lè colo' arassa seggher
sayuraya dibeli masih segar-segar.,ghâasè ebelli ghi' gher-seggher
bila jumataora-ora lslam bersembahya ke masjid.,mojhuma'adhârè-orè èslam paḍâ abhâjâ ka sèghit
kakak beradik itu seri bertekar,kaka' alè' rowa segghut atokar
jika tidak mau ambil semuaa,mota' eâ' kala' sekalè
segala sesuatu diibaratkakepada diria,èsèkot ḍâ' abâ' dhibi · 
baak bicara tapi kerja tidak ada.,tao èkot ta' tao ajhâi' 
ora ya ik mobil peh bersesak-sesaka,orè sè mpa' kearaapossa' asek-seksek
baak ora berbia-bia di surau sambil bersila,bâya' orè aḍhâ-kahâ è laghâr sambi asèla
mea air pada makuk,èlèaè ḍâ' kobhughân
"rambuta ada kutua, terasa gatal lalu cepat mia uuk diselisik kepada ibua.",obu' akotoa arassa ghâtel pas dhuli mèa sellè' ka èbu'
jika kal i akadiseil teliaa.,motambe ḍâgghi' èseltè'a kopèa
memohomaaf sampai meembah-embah,o' osapora dhâghâ bhâ-embhâ
perutku kembu.,ta tabu' sembe
rumaha agak jauh juga dari rumahku,roma semmo jhâu kèya ḍari ta roma
hujaderas tadi malam baak mematahkadahapepohon,ojhâdherres malemma bâya' masempal caka ka'-bhukaan
"kare jatuh dari memaat, leaya ya kiri patah.","amarghâ labu ḍâri aè', leea sè kacèr sempal"
"i bukaciiemas, tapi ciisepuha","arèya bâè sella' emmas, tapè sello' sempoan"
tidak ada ikatasak famili sama sekali.,ta' bâu seu' ta' bâu cèo 
awas ada ular,sèa' bâgâ olar
awas jaasampai lupa,sèa' jhâ' sampè' loppa
awas jaasampai terlambat.,sèa' jhâ' sampè' tellat
kita,sèko' bâsakabbhi bhâre
saya belum meerti,sèko' ghi' lo' artè
jika saya pula seharusa sudah selesai semua.,mosèko' molè kodhu la marè kabbhi
saat meekameohiburamusik.,cè' seea ̀ghu orkès
guru ya suka membeak-beak tidak disei oleh murid-murida.,ghuru sè dhujâtak-seaghâta' èkaseeè bi' rèd-morèddhâ
bersifat pemurah dapeasih.,asèpat mora tor asè
saat sulit ditemukaya bersembui.,sèpe sè èrrem
tempat i saat sui,keearèya cè' seppè
ora tuaa sudah megal dua,orè seppo ampoadhighâl omor
raaa belum dialaskadeasprei.,raaa ghi' ta' èberri' sepprèi
tamaya keri itu cepat disiram supaya tidak meadi mati,tamemasè kerrè rowa dhuli sèram sopajâ ta' dhâddhi matè
setiap pagi ibu meiram bua.,sabbhâlagghu èbu' èram kembhâ
ayah seda mai.,rama ghi' teppa' asèram
dausirih ya tula dauya sali bertemu di teah.,sèrè temmo ora'
diseret ke pigir.,èsèrèt ka pèghir
mehilakaluka di hati.,masèma loka è atè
kalau seda makajaaberbicara i bisa terselak.,moteppa' akajhâ' aca-caca ḍâgghi' tasema'
meriih kesakita,aserro cè' sakè'
meerut kulit jagu uuk dibua bulua sebelum dijadkaklobot.,errot kolè' jhâghu
lupa akajaia.,sèsèp ka jhâhi
jaamemakai baju ya sesak-sesak tidak logar.,jhâ' aghuy kalambhi sè sek-seksek
di pecipeh dasesak deakearaa,è pacèpossa' bâsessek bi' kearaan
meetel lagu di tape recorder,ettèl laghu  ettip
ya ke satu,sè kapè sètto
tidak ada satupuya bisa membau.,taḍâ' sèttoa sè bisa abhâo
murid ya kal dihukum berdiri di depapapatulis.,morèd sè tambe èsettrap mahe èaḍâ' papatolès
bau wai bersabar kema-ma.,bâu ro'om aslambherrân
aisepoi-sepoi terasa masuk perlahalahake tubuh.,aèalesser lessep ka bhâd.hân
saya deatemasaya heak memai ke teah laut,sèko' so ta kaa maèa ka tea tasè'
pergi deasiapa?,èar so sapa?
pula bersama ayah,molè so rama
kamu tidak iat deaaku?.,bâ' lo' èa' so sèko'?
oleh saya akadiberikaua,so sèko' èberri'à pèssè
oleh saya akadiberikakepada adikmu.,so sèko' èbâghiâ ka alè' bâ'
asal bekerja saja.,so' alako bhâi
semakilama semakikal,so'è abit so'è kal
semakilama semakikaya.,so'è abit so'è soghi
ke tusuk duri.,keè soddhu' guri
membeli sate empat puluh tusuk.,mellè satè pa' polo soijhin
bersujud kepada ya Kuasa.,asojud ḍâ' sè kobâsa
meulam taplak meja.,olam tapplagghâ mèjâ
gigi ak itu tumbuh gisul.,ghighi a' rowa tombu solè
berpehasilabesar mubesar pula peeluaraya.,"sombher raja sombherrâ, raja pacarrèa "
ya pali sombo.,sè palè sombo
"biasaa sumur ya sudah tidak terawat, aira berbau tidak sedap","biyasa somor sè ella ta' karabât, aèa bâer"
disumpal deakain,èsompet bi' rambi
meumbat telia kare adika berteriak-teriak keras sekali.,ompet kopè amarghâ alè'  arè-cerrè cè' kajâ
matahari meiri bumi,mataarè orè bhumè
puasa suah hari sekamis,powasa soat arè seèkemmès
ak-ak kecil tidak lupa memakai sokok bila pergi ke surau.,'-ka' kè̀' ta' loppa asoko'amoèar ka laghâr
ora ya sudah tua itu saat pèmarah sekali.,orè sè la towa rowa cè' sooa
meuruk ke dalam kolo raa,o' ka bhruma
membakar dupa uuk ora mati.,ooka orè matè
bajua segera dijemur supaya keri mumpu tidak meu,kalambhi dhuli jhemmor sopajâ kerrè mompo ghi' ta' oem
cepat pula supaya tidak dimarahi ora tuaa.,dhuli mole sopajâ ta' èghighiri orè towa
besok pagi-pagi sekali saya akapergi ke Surabaya.,lagghu' ghu-lagghu sèko' èarra ka Sorbhâjâ
bagaima kamu tidak tahu,soro' bâ' ta' tao
bagaima kamu belum meear.,soro' bâ'  ghi' ta' èḍi
meyisir rambut aka ya busu.,oroy obu' a' sè buso
meusui,"osoè , epsebbhi  "
ua kembalian,pèssè sa' -soso'
kakiku terke sosoraasa.,ta soko èkeè sosor bhâak
pakaiasutra tidak paas dipakai oleh seora peta,sottra asa ka paghâr 
bara bagus ya dikekaoleh ora ya tidak tahu cara uuk memakaia.,sottra èpakaè' ka cara 
mempersembahkasuara aiaya ek dameejukkahati uuk didear.,mâkta sowara rareppèsè aghur tor marem pèreaa
meup api lilin,rèpo apoyya lilin
tidak mempadisehati,ta' keè bâlâi
tidak bisa dicegah,ta' keè pella
tidak tertawa tapi meeriai,ta' aghellâ' tapè erèè
tidak pua ua,ta' ai' pèssè
hujaya tidak deras,ojhâa ta' dherres
belum pula,ghi' ta' molè
tidak iat lagi,ta' èa' polè
tidak usah me es al,ta' osa kasta
tidak kuu diberi,ta' kaQhik èberri'
tidak sama kecila,ta' paḍâ kè̀'
tidak terlalu masak,ta' patè massa'
dikatakakepada ora ya saat kikir,ta' keè pèaè bujâ 
pembicaraaya kacau balau,ta' ètemmo koo' bhuka 
tidak tahu kema data dapergia ora itu,ta' ètemmo sakaparaa pejhâlâa 
dikatakakepada ora ya saat miskin,ta' tao abâli' cobigghâ 
"buah ka ya jatuh dari pohoya itu berbui megedebuk, saki besara.",ka sè ghâgghâr ḍâri bhuka rowa amoè tabbhughâsakè ḍâri rajâ
"tadi ada tabrakadijalaraya, dua ora megal, kepalaa terlias truk.","ghellâ' bâḍâ tabbra'aè jhâlârajâ, ḍuwâ' orè sè matè, cètagghâ taghees truk"
perut bulat besar damalas bekerja.,tabu' mellak momas sè aghuliâ 
paku berkarat itu meap ke kakia,pako yyèjârèya ccek ka soko
medah air hujadi paura,ḍâ aè ojhâè paoran
"rugi tigal rugi, tidak akakembali lagi seperti sedia kala",taḍâ' bherrâs mpa mole sekabit 
dikatakakepada ora ya tidak tahu berterima kasih datidak pemah peduli akakewajibaya,taḍâ'  bhuel mosè 
tidak ada hubuadarah sama sekali.,taḍâ'  u-bâu sa'  
dipukul sampai membiru,ètokol tagher beddhe
tidak akapula sampai higa malam.,ta' molèa mota' tagher malem
dikatakakepada ora ya paai daberbakat taa berguru kare mema pembawaasejak lahir,tajhem ta' aghâsè 
bera haa kalau tidak ada oraa,tako' ka tajhemma bâal ka toia 
membeli bubur deawadah takir.,mellè tajhièbâḍhâi takèr
jaasuka membuat terkejut ora ya pekut.,jhâ' jhât-matakerjhâdhâorè sè tako'an
saya saat takut berdiam diri disi,sèko' cè' tako' aee kadhibi'âè kaa'
kakak perempuau saat telatedalam merawat ibu ya sakit.,ta embhuk cè' talatèa arabât èbhu sè sokan
tersiara kabar dari mulut ke mulut saat cepat.,sajhâ-lahâa talè ghi' lahâacolo' 
hari Migu saya akamemai kepiti ditambak milik Pak Abdullah.,arè mègu sèko' mèorra pètè è tambhâ' pa' Dulla
perbuatabaik dibalas deakejahata,mbu' kembhâ èbâles aca
ayah bertamu ke rumah tetaga,rama atamoy ḍâ' beko tataghâ
"tapi jaabersedih hati, jodoh damati sudah ada meatur.","tape ta' osa atampa cakèm, jhuḍhu bâpatè bâḍâ sè raksa"
bilamalam tiba aia melolo-lolo.,moella malem bhurussâ alo-talo
kakia tertaap beli ya tajam.,soko tetaep bhelli sè tajhem
berlari tidak begitu cepat,"aberka"" ta' patè taes"
tidak ada ya bisa meii,taḍâ' sè bisa hiè
belum tiba,ghi' ta' tahuk
tidak bisa meusukalimat deaber.,tahugghâ bhâsa ta' ro-karowa
maaf saya tidak melihat aa.,sapora kaulâ ta' alè sampèyan
megu sagat lama.,aḍâè' cè' taè
dikatakakepada seora perempuaya segera akakawilagi setelah lama meaa.,ès ka bâbâ dhâlima 
"jaatagu-tagu, jika bera datai ke rumaha","jhâ' ghu-tahu, mobâal sèarè ka roma"
ditagu tidak akabera.,ètaghu ta' kèra bâal
belum bautidur,ghi' lo' taè
"saya bera mea kamu, kapasaja dadimapu","sèko' bâal ta bâ' bilââ bhâi, bâèkammaa bhâi"
bertaa kema-ma,ataa ḍâ' maamman
tiga tahuya lalu,tello taosè tapokor
"ora itu kaya, tapi saat kikir","orè rowa soghi, tapè cè' cerrè'"
rumah i kecil tapi saat elok bila dilihat.,"roma arèya kè̀', tapè cè' pema moèabâs"
tidak mempuai pegaaatau sumber pehasila,ta' ai' tapè bhlâkka 
selesai berlari saya sesak fas,marè aberka' sèko' tapegghâ
ke tempele pipia,keè tapok pèpè
dikatakakepada ora ya haa bera berbuat kejahatadeamemiam atau megukabauaora lain,pok èhâm ta 
dikatakakepada ora ya mealami kesialaya beruun,ètapok èkala' oḍhea 
suamia meamuk sambil membai bai piri.,lakè amok sambi por-ppor pèrè
boros terhadap ua,tarapas ka pèssè
"cia itu buta, terlaur erat tali ikataya","tarès ̀ko buta, kaḍu serret sambhughellâ"
sesuguha cia itu dibawa sampai mati,saoghu tarès ̀ka èkèbâ matè
aku meiaimu,bulâ tarès ka dhika
mempersembahkacia deaseribu seuman,aos tarès saèbu pèsem
jika mema cia mari deakesuguha jaasampai aku terke-ke,"motarès torè hi' oghu, jhâ' kasè bulâ ebâean"
teriat akaciaa,èmot ka tarès
oh tegaa megalkahati ya terpeso akacia.,ḍu tèghâ ghâllaghi atè sè kapèot tarès
ora ya baru piah itu saat akur deatetagaa.,orè sè ghi' bhuru allè rowa cè' akorra bi' tetaghâ
baru saja meiak tah,ghi' bhuru ̀ddhâ' ta
telur ya dierami sudah metas,tellor sè èèrremmè la teḍḍhâs
bisul besar ya ada dipaata telah pecah.,budhusè bâḍâ èburi' la teḍḍhâs
masih seda tidur,ghi' teppa' tèḍu
"setelah mim es, badaterasa segar.","marè èm ès, bhâdhâarassa tegghes"
buru emprit terba saat tigi.,ma' keddhi' abbher cè' tègghi
jika merik pasti baak ditooora.,molèbur pastè bâya' ètègghu orè
"dikatakakepada ora ya saat pembera mehadapi segala, taaahidup.",gghu' buo' maca
meambil beras deasebaak-baaka.,ala' bherrâs èkem-tekkèm
dikatakakepada ora ya selalu berada dirumaha,tèkos lebbhu ka rokaa 
diibaratkakepada dua ora sahabat ya bertekar,tèkos èjhâi' buri' 
kepalaa tele ke kiri.,cètâagghâ tèlè ka kacèr
kemarisaya data terlambat.,bâ'âri' sèko' tellat ḍâte
ak itu jika bicara suaraa saat meleki.,ka' rowa moacaca cè' tellè
tiga hari ya lalu,tello arè sè tapokor
ya ke-tiga,sè kapè tello'
telur ayam kampu,tellor ajâm kampo
lebih baik meambil ya besar dari pada ya kecil.,ao'aala' sè rajâ ètèmbbâ sè kè̀'
"selesai sembahya ashar, tematemabermaibola di alualu","marè abhâjâ ashar, ca-kaa paḍâ amaètembhu è loalon"
bahua agak miri.,bhâu abâk tèmbi
dikatakakepada ora ya tidak tahu akibat dari perbuataya.,ta' tao temma 
tahu-tahu berada disi,mo-temmo bâdâ èdia'
tahu-tahu diambil semuaa.,temmo èkala' kakabbhi
